IPCC_annex;C_group_IM24_sh;Country_code_A3;Name;ipcc_code_2006_for_standard_report;ipcc_code_2006_for_standard_report_name;Substance;fossil_bio;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;Y_2023;Y_2024
Non-Annex_I;Rest Central America;ABW;Aruba;1.A.1.a;Main Activity Electricity and Heat Production;CO2;fossil;17,34370569;19,87752332;29,33004616;31,21417951;30,11478687;43,02536936;39,92535032;47,90253655;49,8499968;50,90531093;54,05013989;54,59830731;53,64956229;52,59163821;62,46627038;65,63341208;71,02129008;80,92642138;88,86690541;119,9157996;109,1001813;118,3157918;135,8192387;136,0763752;155,4128501;170,6325586;112,4534327;183,8137601;186,21251;186,2167497;143,5935666;146,6161929;156,3418416;186,0260706;192,4170066;212,7615561;235,9029001;258,8882187;256,2908392;272,5106604;254,0581558;156,2532536;197,6464697;213,8520991;222,2380261;230,102165;240,8079339;223,4325492;225,8478662;244,5368757;251,2935208;256,1324871;271,0122052;270,4634361;280,8548717
Non-Annex_I;Rest Central America;ABW;Aruba;1.A.2;Manufacturing Industries and Construction;CO2;fossil;0,193086777;0,221295666;0,279980895;0,260093817;0,323791717;0,395529839;0,473103589;0,532382596;0,596946042;0,581730403;0,798868312;1,002836107;0,834340832;1,078149827;1,194303003;1,415065636;2,37035985;2,420100494;2,327186895;3,996792518;9,382780248;9,689726387;8,70431484;7,957792627;8,663624013;10,12309889;6,466202909;9,586864397;9,740738137;10,4161617;6,679240945;7,833920903;18,4734158;17,96366762;16,96868831;15,39031177;14,59878673;14,03884476;11,03210592;13,63936078;14,75604983;10,14212973;18,07784552;19,95413924;22,20846259;24,21538335;21,72801121;33,27672574;28,13780817;26,74978841;28,65739697;34,63066682;36,64276703;36,56856956;37,97356515
Non-Annex_I;Rest Central America;ABW;Aruba;1.A.3.a;Civil Aviation;CO2;fossil;0,754305502;0,864505284;0,511095995;0,603383602;0,834829551;0,849693368;1,037875012;1,069749538;1,276501563;1,27838238;1,387468546;1,53482423;1,637470727;1,596710742;1,514589683;2,509306104;2,608953139;3,209448772;3,215710612;5,644109576;6,792255841;8,148331125;8,03543646;7,282571685;10,24495055;11,92244927;8,739015654;17,68690278;14,9517527;15,69000107;15,03903625;11,68396409;11,76347363;12,94325827;13,06254611;14,25945339;14,39154673;15,74046105;16,56882933;14,95783271;14,25047239;14,10148801;14,21077027;17,30308902;18,42935441;18,90072327;18,98639294;19,69031326;16,54871005;23,25837111;12,10140887;12,62712;13,36077903;15,25492906;15,39872967
Non-Annex_I;Rest Central America;ABW;Aruba;1.A.3.b_noRES;Road Transportation no resuspension;CO2;fossil;1,04072023;1,192763589;1,360877144;1,700967575;2,126094263;3,406415633;3,913081972;4,426321836;4,877983542;4,436644286;7,312537775;7,973078527;8,893863647;10,11059162;11,9334396;11,76528686;13,51427579;15,17290705;16,68862584;23,67183278;48,36909004;56,23061671;64,89198829;67,03722934;75,61715605;83,18696667;54,19567626;92,36023625;100,0356877;103,1795626;80,93715572;82,40694257;86,27068733;96,78556982;97,38121619;110,1709376;123,0436171;132,6543004;134,7378846;150,7115119;156,316696;82,77669051;104,6960953;114,8211851;126,4152523;135,2387802;140,1771054;135,4297288;135,9280348;150,6515338;138,5249521;144,8729614;153,2905964;152,9802002;158,8578299
Non-Annex_I;Rest Central America;ABW;Aruba;1.A.3.d;Water-borne Navigation;CO2;fossil;;;;;;;;;;;;;;;;;;;0,046508071;0,059090579;2,079711894;2,371700539;1,898306582;2,719605702;2,733751827;2,873713549;1,841948969;2,794007691;2,661680765;2,784694845;2,116664428;2,157804091;2,374807389;2,79541458;3,090481818;3,601218241;4,604797528;4,128729922;4,175102607;4,179650881;4,116289219;3,174997013;7,384872312;8,233904076;9,191438608;9,637072508;10,20968117;9,763252728;9,594835747;10,38522341;10,64431465;10,82877822;11,45805883;12,209959;11,36062246
Non-Annex_I;Rest Central America;ABW;Aruba;1.A.3.e;Other Transportation;CO2;fossil;;;;;;;;;;;;0,063634731;0,067890516;0,113175702;0,162181905;0,169441177;0,17641536;0,274558465;0,186032285;0,236362318;4,027929659;4,328571678;5,104455921;5,133492561;5,71901955;6,384018865;4,406756956;6,925277692;7,300431704;7,288599396;1,491652523;1,911520819;2,277100568;3,025976729;3,159084275;3,399512372;3,876777866;4,58985213;4,627072651;6,365599112;4,606115557;4,184168911;5,614639404;6,026068956;6,147604986;5,389204354;5,476591479;4,11115611;4,349503267;3,98707151;4,570887167;4,369470335;4,623434248;4,614072316;4,791348905
Non-Annex_I;Rest Central America;ABW;Aruba;1.A.4;Residential and other sectors;CO2;fossil;0,248977616;0,285351842;0,367417682;0,37428506;0,468188361;1,671519717;2,175164565;2,367832317;2,564243109;2,761995127;2,980915185;2,835762417;3,061814622;3,437855786;6,929219525;7,194254469;7,786598081;8,261451144;10,09177484;13,80438889;16,16598384;21,54160967;19,92241543;19,08192213;21,81804398;23,65709902;15,56741057;25,49336426;25,38044405;25,05536447;15,43637766;15,13025901;15,61155072;16,78828866;17,28696797;19,50279975;21,04796579;21,38869726;20,73877006;24,07696975;26,20443768;16,45880477;23,20446027;27,28868289;31,10669624;33,07286599;43,27180824;36,31352509;38,85057543;44,03198904;38,09706996;38,69868318;39,60836334;39,52816087;41,04686649
Non-Annex_I;Rest Central America;ABW;Aruba;1.A.5;Non-Specified;CO2;fossil;5,11955761;5,867496115;7,095355271;9,590038402;9,04502222;7,465423979;8,296764177;10,18376976;12,14250458;15,30751344;12,57899557;14,21450441;12,97320922;14,72534083;13,6319157;14,59701982;15,45479948;17,54230516;20,61210321;29,18082404;4,029594224;4,524005853;5,092952606;4,893027457;4,099651389;4,174136764;1,764982062;2,773692995;3,264275137;3,478619542;2,02312193;2,42788875;2,138557013;4,246155476;4,150906837;4,129291435;4,469236373;4,291172365;4,043191916;4,259146735;4,947595174;1,584726452;2,066630894;2,774162232;2,818755107;3,278979136;1,978133444;2,407550433;3,481332064;3,260327803;2,923801122;3,2194985;3,406529342;3,399631505;3,530248243
Non-Annex_I;Rest Central America;ABW;Aruba;1.B.2;Oil and Natural Gas;CO2;fossil;2,00953E-05;2,30311E-05;2,52513E-05;3,59076E-05;3,12005E-05;2,49418E-05;2,94006E-05;4,86098E-05;3,42645E-05;3,48504E-05;4,40787E-05;3,64867E-05;4,3249E-05;3,86166E-05;3,30803E-05;8,99508E-06;3,67426E-06;4,94265E-06;4,76681E-06;6,28938E-06;7,90114E-06;0,036462079;6,47958E-05;7,88442E-05;9,85289E-05;9,81744E-05;8,2026E-05;0,000123865;0,000108141;0,000135575;0,099923642;0,099880639;0,133042098;0,106082487;0,107054033;0,106482726;0,151026108;0,182189955;0,188619948;0,215040665;1,168684637;0,18438873;0,053599321;;;;;;;;;;;;
Non-Annex_I;Rest Central America;ABW;Aruba;2.A.3;Glass Production;CO2;fossil;0,00295325;0,0029719;0,00299245;0,00301195;0,00302625;0,00303275;0,00302945;0,0030183;0,0030053;0,0029989;0,0030048;0,00302835;0,0030672;0,0031102;0,00314155;0,0031514;0,0031322;0,00309175;0,00305385;0,0030516;0,0031074;0,00323115;0,00341175;0,0036249;0,003835;0,0040163;0,00415975;0,00427235;0,0043638;0,0044502;0,0045429;0,0046447;0,00474975;0,00485075;0,0049371;0,00500155;0,0050415;0,0050609;0,0050671;0,0050708;0,00507985;0,0050968;0,00511965;0,005113807;0,005142602;0,00517156;0,005189903;0,00520831;0,005226782;0,005249377;0,005270732;0,005292174;0,005313703;0,005334782;0,005356382
